"Date Time","Open","High","Low","Close","Change","MACD","MACD-Signal","MACD-Histogram"
2016-08-11,1353.2,1359.4,1341.4,1350,-1.900000000000091,9.16923076923058,2.0537037037037558,7.115527065526825
2016-08-12,1344.7,1362.5,1338.3,1343.2,-6.7999999999999545,10.621153846153902,3.639743589743628,6.981410256410275
2016-08-15,1343.6,1349.1,1340.9,1347.5,4.2999999999999545,11.565384615384573,5.1267094017094275,6.438675213675146
2016-08-16,1345.2,1364.3,1344.8,1356.9,9.400000000000091,11.50384615384587,6.44999999999997,5.0538461538459005
2016-08-17,1351.3,1356.8,1340.5,1348.8,-8.100000000000136,10.084615384615063,7.50213675213667,2.5824786324783924
2016-08-18,1353.8,1361.5,1351.2,1357.2,8.400000000000091,8.278205128204945,8.195940170940073,0.08226495726487215
2016-08-19,1357.1,1357.9,1342,1346.2,-11,6.1980769230769965,8.651709401709317,-2.4536324786323203
2016-08-22,1345,1345.7,1335.4,1343.4,-2.7999999999999545,3.582692307692014,8.634045584045452,-5.051353276353439
2016-08-23,1343.6,1348.8,1338.9,1346.1,2.699999999999818,3.0782051282046723,8.231267806267624,-5.153062678062952
2016-08-24,1342.2,1344.1,1327,1329.7,-16.399999999999864,2.2115384615385665,7.458190883190734,-5.2466524216521675
2016-08-25,1327.4,1330.2,1321,1324.6,-5.100000000000136,0.16602564102549877,6.2965099715098,-6.130484330484301
2016-08-26,1324.8,1346,1321.2,1325.9,1.300000000000182,-1.804487179487296,4.810968660968481,-6.615455840455777
2016-08-29,1323.8,1328.5,1317.2,1327.1,1.199999999999818,-3.855128205128267,3.104415954415799,-6.959544159544066
2016-08-30,1327,1328.9,1312,1316.5,-10.599999999999909,-5.964743589743648,1.3211538461537202,-7.285897435897368
2016-08-31,1314.7,1319.2,1306.9,1311.4,-5.099999999999909,-8.323076923076997,-0.5234330484331622,-7.799643874643834
2016-09-01,1311.7,1318.6,1305.5,1317.1,5.699999999999818,-10.970512820513022,-2.4310541310542755,-8.539458689458748
2016-09-02,1318,1334,1307.4,1326.7,9.600000000000136,-12.254487179487342,-4.19074074074087,-8.06374643874647
2016-09-06,1328.1,1357.2,1325.5,1354,27.299999999999955,-12.386538461538294,-5.909045584045645,-6.477492877492649
2016-09-07,1353.5,1357.6,1346.9,1349.2,-4.7999999999999545,-11.73653846153843,-7.458831908831978,-4.277706552706452
2016-09-08,1349.1,1353.9,1339.1,1341.6,-7.600000000000136,-10.694230769230671,-8.665527065527108,-2.028703703703563
2016-09-09,1341.6,1343.6,1331.2,1334.5,-7.099999999999909,-10.499358974358756,-9.631623931623936,-0.8677350427348198
2016-09-12,1332,1333.8,1323.3,1325.6,-8.900000000000091,-9.233333333332894,-10.229202279202228,0.9958689458693346
2016-09-13,1331.7,1335.9,1318.8,1323.7,-1.8999999999998636,-8.512179487179083,-10.51225071225061,2.000071225071528
2016-09-14,1322.6,1329.8,1316.6,1326.1,2.3999999999998636,-7.910897435897141,-10.466452991452847,2.5555555555557063
2016-09-15,1325.8,1332.5,1312.1,1318,-8.099999999999909,-7.565384615384573,-10.088105413105243,2.5227207977206696
2016-09-16,1318.3,1321.5,1309.2,1310.2,-7.7999999999999545,-6.486538461538203,-9.447222222222004,2.9606837606838017
2016-09-19,1313.2,1321.8,1312.6,1317.8,7.599999999999909,-4.714743589743421,-8.594800569800352,3.8800569800569313
2016-09-20,1316.3,1321.1,1315.2,1318.2,0.40000000000009095,-3.6615384615383846,-7.697578347578125,4.036039886039741
2016-09-21,1318,1341.3,1310.9,1331.4,13.200000000000045,-2.6506410256411073,-6.803846153845951,4.153205128204844
2016-09-22,1338.9,1347.8,1335.1,1344.7,13.299999999999955,-2.9564102564099812,-5.965740740740532,3.009330484330551
2016-09-23,1340.3,1344.5,1337.4,1341.7,-3,-3.3083333333331666,-5.307407407407229,1.9990740740740627
