"Date Time","Open","High","Low","Close","Change","Volume","Open Interest","MACD","MACD-Signal","MACD-Histogram"
2007-01-01,643,647.3,603,606.9,0,101597,350064,,,
2007-01-08,609.3,628.8,605,626.9,20,76156,346650,,,
2007-01-15,626.9,637.4,620.6,636.4,9.5,80197,345872,,,
2007-01-22,635.8,654.8,632,650.7,14.300000000000068,123236,359283,,,
2007-01-29,651.9,667.2,646.6,651.5,0.7999999999999545,91345,354072,,,
2007-02-05,653.1,673.9,651.2,672.3,20.799999999999955,61935,367297,,,
2007-02-12,673.4,676.6,664.1,672.8,0.5,61480,388661,,,
2007-02-19,673.2,691.9,659,686.7,13.900000000000091,87996,404486,,,
2007-02-26,684.6,692.5,641.3,644.1,-42.60000000000002,116049,410831,,,
2007-03-05,645.6,659.8,634.5,652,7.899999999999977,99415,385801,,,
2007-03-12,650.9,656.5,637.6,653.9,1.8999999999999773,83146,377282,,,
2007-03-19,653.9,667.6,652.5,657.3,3.3999999999999773,80148,362388,,,
2007-03-26,657.5,676.5,657.1,669,11.700000000000045,106637,353294,,,
2007-04-02,671.1,681.1,661.7,679.4,10.399999999999977,74452,354059,,,
2007-04-09,676.9,690.5,675.5,689.9,10.5,63753,364657,,,
2007-04-16,690.6,698,682.5,695.8,5.899999999999977,70304,383407,,,
2007-04-23,696.2,697.7,673.8,681.8,-14,77295,398320,,,
2007-04-30,684.2,693.2,670,689.7,7.900000000000091,76347,399095,,,
2007-05-07,691,693.3,665.9,672.3,-17.40000000000009,95495,410368,,,
2007-05-14,673,676.4,654.1,662,-10.299999999999955,102775,406033,,,
2007-05-21,662.5,665.9,651.5,655.3,-6.7000000000000455,109229,415849,,,
2007-05-28,661.3,677.5,657.7,676.9,21.600000000000023,136774,384898,,,
2007-06-04,676.9,679.5,647.8,650.3,-26.600000000000023,94238,394465,,,
2007-06-11,653.3,659.5,647,658.7,8.400000000000091,64533,412514,,,
2007-06-18,658.7,665.8,650.5,657,-1.7000000000000455,65220,409540,,,
2007-06-25,657.4,657.7,641.1,650.9,-6.100000000000023,77397,393408,8.49230769230769,,
2007-07-02,651.6,661.3,646.7,654.8,3.8999999999999773,85466,378181,3.7250000000001364,,
2007-07-09,657.6,671,655.3,667.3,12.5,94706,382281,-0.20384615384602967,,
2007-07-16,667.3,687.6,663,684.7,17.40000000000009,91061,382360,-1.8198717948716876,,
2007-07-23,684.7,688.4,652.8,672.3,-12.400000000000091,169637,382067,-4.100641025640925,,
2007-07-30,673,687.1,670.6,684.4,12.100000000000023,75727,354473,-4.357692307692332,,
2007-08-06,686.8,688.1,668.8,681.6,-2.7999999999999545,82754,353163,-3.0820512820511112,,
2007-08-13,682.7,683.7,651.6,666.8,-14.800000000000068,98702,343238,-1.8929487179484568,,
2007-08-20,667,679,662.3,677.5,10.700000000000045,75429,330613,-1.4891025641023816,-0.5254273504272331,-0.9636752136751485
2007-08-27,677.5,683.9,670.2,681.9,4.399999999999977,54585,324979,-0.3096153846154266,-1.5034188034186906,1.193803418803264
2007-09-03,681.9,716.6,680.1,709.7,27.800000000000068,110340,350148,1.7211538461536975,-1.7260683760682949,3.4472222222219924
2007-09-10,709.5,726.5,708,717.8,8.099999999999909,89710,377705,4.330128205128403,-1.2222934472933578,5.552421652421761
2007-09-17,715.8,747.1,714.8,738.9,21.100000000000023,118085,402483,8.524999999999864,-0.07286324786318549,8.59786324786305
2007-09-24,738.6,752.8,729.2,750,11.100000000000023,108854,438413,13.34294871794873,1.865313390313443,11.477635327635287
2007-10-01,750.3,755.7,726.3,747.2,-2.7999999999999545,116544,443814,17.393589743589814,4.28212250712257,13.111467236467245
2007-10-08,747.5,759.3,732.2,753.8,6.599999999999909,93286,466456,20.694230769230785,6.9239316239316695,13.770299145299116
2007-10-15,754,776.9,752.7,768.4,14.600000000000023,124102,486358,25.910256410256466,10.013176638176661,15.897079772079804
2007-10-22,770.9,789.5,749,787.5,19.100000000000023,112014,498016,30.436538461538248,13.560470085470065,16.876068376068183
2007-10-29,788,811,780,808.5,21,124781,525567,36.442307692307736,17.644017094017084,18.798290598290652
2007-11-05,810.6,848,803.5,834.7,26.200000000000045,167833,557506,44.187820512820736,22.36253561253564,21.825284900285094
2007-11-12,831.5,833.6,783,787,-47.700000000000045,189840,544189,48.505128205128244,27.27086894586896,21.234259259259286
2007-11-19,788.3,826.1,773.4,824.7,37.700000000000045,160278,514727,53.889743589743716,32.311396011396056,21.57834757834766
2007-11-26,823.5,837.2,785,789.1,-35.60000000000002,227670,502344,56.19102564102559,37.07229344729348,19.118732193732107
2007-12-03,789.4,813,783,800.2,11.100000000000023,101399,481086,57.29230769230776,41.505484330484364,15.786823361823394
2007-12-10,801,822.8,792.3,798,-2.2000000000000455,100463,488990,56.85961538461561,45.52386039886046,11.335754985755152
2007-12-17,798.8,816.7,789.6,815.4,17.399999999999977,75421,498707,56.2173076923076,48.89131054131058,7.3259971509970185
2007-12-24,815.5,844.6,811.6,842.7,27.300000000000068,58272,530598,56.79871794871792,51.82044159544166,4.978276353276264
2007-12-31,843.2,872.9,833,865.7,23,138080,555203,58.012179487179424,54.21709401709407,3.795085470085354
2008-01-07,862.8,900.1,857.8,897.7,32,162485,569695,59.92564102564097,55.965740740740756,3.9599002849002147
2008-01-14,899.4,916.1,870.6,881.7,-16,170679,579783,60.198717948717785,57.265028490028484,2.933689458689301
2008-01-21,882,924.3,849.5,910.7,29,247549,548877,59.54615384615374,57.89351851851849,1.6526353276352523
2008-01-28,912.5,942.2,908,913.5,2.7999999999999545,207573,512916,57.30128205128187,58.016880341880295,-0.7155982905984217
2008-02-04,910.5,927.3,888.4,922.3,8.799999999999955,135887,485069,59.31858974358943,58.24202279202271,1.0765669515667184
2008-02-11,924.1,931,899.5,906.1,-16.199999999999932,107167,477234,56.898076923076815,58.24629629629617,-1.348219373219358
2008-02-18,905.1,958.4,903.2,947.8,41.69999999999993,137180,490525,59.72692307692307,58.63625356125345,1.0906695156696244
2008-02-25,948,978.5,928.9,975,27.200000000000045,131772,493951,63.020512820512636,59.32756410256397,3.692948717948667
2008-03-03,975.6,995.2,958.3,974.2,-0.7999999999999545,165270,487536,67.53076923076924,60.385185185185065,7.145584045584172
2008-03-10,975.3,1009,961.9,999.5,25.299999999999955,161882,493462,72.03782051282053,61.73098290598279,10.306837606837739
2008-03-17,1004.5,1033.9,904.7,920,-79.5,272101,481156,71.51410256410259,62.98824786324777,8.525854700854815
2008-03-24,918.3,960.3,906.2,936.5,16.5,210003,438187,70.24102564102577,64.17656695156688,6.064458689458888
2008-03-31,936.4,945.7,876.3,913.2,-23.299999999999955,135866,403424,65.1480769230767,65.04843304843297,0.09964387464373203
2008-04-07,919.3,943.4,906.6,927,13.799999999999955,115014,411064,62.26153846153818,65.37542735042729,-3.1138888888891074
2008-04-14,924.2,956.2,907.3,915.2,-11.799999999999955,116116,428472,56.99038461538464,65.3856837606837,-8.395299145299063
2008-04-21,920.1,931.9,880,889.7,-25.5,135718,424406,51.07628205128219,64.42450142450139,-13.348219373219194
2008-04-28,890,898.1,846.4,858,-31.700000000000045,129302,427342,43.81410256410254,62.29045584045582,-18.47635327635328
2008-05-05,859.2,890.8,858.7,885.8,27.799999999999955,120255,435174,40.15705128205127,59.248931623931604,-19.091880341880334
2008-05-12,884.3,905.6,860,899.9,14.100000000000023,144535,443898,31.82307692307677,54.78062678062674,-22.95754985754997
2008-05-19,903.2,935.4,900.6,925.8,25.899999999999977,162377,444383,23.834615384615063,49.482905982905905,-25.648290598290842
2008-05-26,924.8,930.6,873,891.5,-34.299999999999955,227165,419758,13.004487179487,43.12329059829048,-30.11880341880348
2008-06-02,891.3,905.6,867.7,899,7.5,123687,401181,0.829487179487046,35.976780626780524,-35.14729344729348
2008-06-09,906.1,912.5,859.6,873.1,-25.899999999999977,131435,395167,-5.967307692307827,28.39579772079763,-34.36310541310546
2008-06-16,872.6,911,868.7,903.7,30.600000000000023,115001,400076,-12.096794871794827,20.71944444444436,-32.81623931623919
2008-06-23,903.7,933,875.2,931.3,27.59999999999991,130657,405901,-13.996153846153902,13.489173789173682,-27.485327635327586
2008-06-30,930.9,950,920.2,933.6,2.300000000000068,139591,436782,-16.057692307692378,6.836752136752024,-22.894444444444403
2008-07-07,934.9,969.1,913,960.6,27,158133,450196,-14.693589743589541,0.7422364672363782,-15.435826210825919
2008-07-14,966.8,989.6,950.2,958,-2.6000000000000227,212701,486430,-11.936538461538248,-4.119943019943069,-7.8165954415951795
2008-07-21,957.3,977,915.9,926.8,-31.200000000000045,211955,470602,-6.822435897435753,-7.526282051282048,0.7038461538462952
2008-07-28,929,943.2,903,917.5,-9.299999999999955,212807,435711,-4.3346153846151765,-9.452849002848957,5.118233618233781
2008-08-04,919,924.1,857.5,864.8,-52.700000000000045,149371,397928,-5.048076923076678,-10.105911680911593,5.0578347578349145
2008-08-11,863.4,872.7,777.7,792.1,-72.69999999999993,190715,369726,-11.805128205127858,-10.754558404558262,-1.0505698005695958
2008-08-18,795.5,845,787.5,833.5,41.39999999999998,128434,373734,-12.242307692307236,-10.770726495726308,-1.471581196580928
2008-08-25,831.1,849.7,812,835.2,1.7000000000000455,115434,382405,-12.182051282050907,-10.569159544159309,-1.612891737891598
2008-09-01,842.2,842.8,793.7,802.8,-32.40000000000009,168984,382254,-11.448076923076542,-10.056980056979771,-1.3910968660967704
2008-09-08,815.6,823,739.8,764.5,-38.299999999999955,195009,385473,-14.009615384615358,-9.98098290598264,-4.028632478632719
2008-09-15,773.2,926,767.4,864.7,100.20000000000005,245120,391098,-17.432692307692264,-10.59166666666642,-6.841025641025844
2008-09-22,874.6,920.1,866.2,888.5,23.799999999999955,178405,367261,-19.34487179487178,-11.9830484330482,-7.361823361823578
2008-09-29,878,932,822.5,833.2,-55.299999999999955,153834,338438,-26.88461538461513,-14.48860398860375,-12.396011396011382
2008-10-06,836,936.3,828.4,859,25.799999999999955,158803,328202,-32.51923076923083,-17.54095441595421,-14.97827635327662
2008-10-13,855.8,875,772.2,787.7,-71.29999999999995,113526,323882,-39.20705128205111,-20.585612535612352,-18.62143874643876
2008-10-20,784.6,811.8,681,730.3,-57.40000000000009,131082,318758,-48.676282051282215,-24.633831908831795,-24.04245014245042
2008-10-27,735.1,778.3,707,718.2,-12.099999999999909,119920,308693,-55.516025641025635,-29.448717948717874,-26.06730769230776
2008-11-03,727,770,721.8,734.2,16,112962,302555,-54.510256410256375,-34.23340455840452,-20.276851851851852
2008-11-10,739.8,768.9,698.2,742.5,8.299999999999955,148321,292777,-56.03974358974381,-38.903418803418795,-17.136324786325012
2008-11-17,740,802.8,729.6,791.8,49.299999999999955,149226,287886,-54.502564102564406,-43.02229344729348,-11.480270655270928
2008-11-24,802,833.5,786.2,819,27.200000000000045,158641,276829,-50.36410256410272,-46.46887464387469,-3.895227920228031
2008-12-01,819,820,741.2,752.2,-66.79999999999995,99415,264232,-45.74294871794882,-48.5642450142451,2.821296296296282
2008-12-08,755.2,835.3,754.1,820.5,68.29999999999995,98478,267358,-47.403205128205286,-50.21801994302004,2.8148148148147527
2008-12-15,825,883.6,821,837.4,16.899999999999977,113634,288294,-49.11153846153877,-51.31851851851867,2.2069800569799014
2008-12-22,839.4,874,829.8,871.2,33.80000000000007,40758,291028,-43.63333333333367,-50.758190883191055,7.1248575498573885
2008-12-29,873,892,857.3,879.5,8.299999999999955,63085,303226,-39.84423076923099,-49.01688034188054,9.172649572649547
2009-01-05,880.7,885.5,836,855,-24.5,122277,324541,-30.17435897435928,-46.312891737891974,16.138532763532695
2009-01-12,856.1,857.5,801.5,839.9,-15.100000000000023,141454,316358,-16.49871794871808,-41.91944444444467,25.42072649572659
2009-01-19,844.1,903.8,823.6,895.8,55.89999999999998,184259,343386,-0.5064102564105042,-35.919871794872016,35.41346153846151
2009-01-26,898.9,931.3,875.7,928.4,32.60000000000002,193061,350434,15.257692307692196,-28.628561253561468,43.88625356125367
2009-02-02,927,929,890.3,914.3,-14.100000000000023,99247,348242,27.670512820512613,-20.471509971510198,48.142022792022814
2009-02-09,913.4,954,891.9,942.2,27.90000000000009,125779,354960,34.43076923076899,-11.37884615384639,45.80961538461538
2009-02-16,940.8,1007.7,937.3,1002.2,60,145036,363010,43.20897435897439,-1.121011396011593,44.329985754985984
2009-02-23,994.3,999.6,927,942.5,-59.700000000000045,147743,372185,54.9403846153848,9.831623931623792,45.108760683761005
2009-03-02,940.3,959.5,900.4,942.7,0.20000000000004547,128043,368444,59.74294871794871,20.89686609686598,38.84608262108273
2009-03-09,941.2,942.8,891.1,930.1,-12.600000000000023,131711,374877,61.098717948718104,31.038319088319025,30.06039886039908
2009-03-16,928.3,967.8,882.7,956.2,26.100000000000023,162065,381373,64.66282051282053,40.056267806267755,24.606552706552776
2009-03-23,950.5,958.1,916,925.3,-30.90000000000009,196690,382447,67.06410256410277,47.56410256410257,19.5000000000002
2009-03-30,926,935.8,892.5,897.3,-28,132139,363092,68.12371794871785,53.43810541310542,14.685612535612435
2009-04-06,898,899.5,865,883.3,-14,88404,339048,70.8057692307691,58.230911680911696,12.574857549857406
2009-04-13,882.9,902.1,865.6,867.9,-15.399999999999977,69261,337555,65.39615384615377,61.671509971510005,3.7246438746437605
2009-04-20,870.2,915.4,865.6,914.1,46.200000000000045,82468,340653,57.135256410256375,63.21887464387467,-6.083618233618296
2009-04-27,915,919.7,880.1,888.2,-25.899999999999977,76340,336234,48.4217948717951,62.494586894586924,-14.072792022791823
2009-05-04,887.5,926.5,885.6,914.9,26.699999999999932,110773,343800,39.19679487179485,60.211680911680936,-21.014886039886086
2009-05-11,917,934.8,908.8,931.3,16.399999999999977,110618,360343,26.026923076923026,56.31481481481482,-30.28789173789179
2009-05-18,930.5,963.1,915.2,958.9,27.600000000000023,151297,380236,20.96666666666647,51.45968660968659,-30.493019943020123
2009-05-25,957.6,982,936.6,980.3,21.399999999999977,212303,393904,17.896153846153766,45.99658119658115,-28.10042735042738
2009-06-01,981,992.1,953.8,962.6,-17.699999999999932,123354,393846,12.512179487179424,39.81752136752132,-27.3053418803419
2009-06-08,950.9,966.7,936.2,940.7,-21.899999999999977,113513,388479,6.597435897435844,32.68326210826207,-26.085826210826227
2009-06-15,940.3,944,926.5,936.2,-4.5,87188,374614,3.705769230769306,25.828774928774905,-22.1230056980056
2009-06-22,935.1,949,913.2,941,4.7999999999999545,99598,376529,4.662820512820645,19.99850427350427,-15.335683760683626
2009-06-29,940.7,947,922.7,931,-10,97622,379353,6.657051282051384,15.357977207977191,-8.700925925925807
2009-07-06,932,934.3,904.8,912.5,-18.5,105062,371333,8.162179487179628,11.90968660968661,-3.747507122506981
2009-07-13,912.3,942.3,907.4,937.5,25,108943,376676,6.3583333333333485,9.724287749287758,-3.365954415954409
2009-07-20,938.5,957.5,937,953.1,15.600000000000023,129560,393148,9.562820512820622,8.457193732193774,1.1056267806268476
2009-07-27,951.4,960,927.6,955.8,2.699999999999932,181888,380237,11.917307692307872,7.7928774928775635,4.124430199430309
2009-08-03,954.5,974.3,953.1,959.5,3.7000000000000455,107195,392829,12.528846153846303,7.794729344729439,4.7341168091168635
2009-08-10,956.6,963.1,942.1,948.7,-10.799999999999955,76639,386766,11.428846153846166,8.331552706552808,3.0972934472933584
2009-08-17,949.2,959.9,931.3,954.7,6,80768,376367,11.122435897435935,9.155626780626879,1.9668091168090562
2009-08-24,954.8,964.6,935.7,958.8,4.099999999999909,82552,379630,10.178846153846166,9.768518518518603,0.41032763532756356
2009-08-31,957.4,999.5,944.3,996.7,37.90000000000009,129946,408327,12.768589743589814,10.447578347578428,2.321011396011386
2009-09-07,994.9,1013.7,983.2,1006.4,9.699999999999932,152018,460362,15.68397435897441,11.283333333333404,4.400641025641006
2009-09-14,1007.7,1025.8,993,1010.3,3.8999999999999773,114407,470284,19.378205128204968,12.729985754985806,6.6482193732191615
2009-09-21,1006.8,1021.5,985.5,991.6,-18.699999999999932,128601,466001,21.878205128204968,14.098361823361845,7.779843304843123
2009-09-28,993.1,1011.1,986.1,1004.3,12.699999999999932,127863,450495,25.41282051282019,15.597863247863213,9.814957264956977
